"","MSOA11CD","MSOA11NM","POPDEN","o_flow","o_density","d_flow","d_density","diff"
"1","E02000001","City of London 001",25.5,198842,7797.72549019608,789,30.9411764705882,-198053
"2","E02000002","Barking and Dagenham 001",31.3,98,3.13099041533546,691,22.0766773162939,593
"3","E02000003","Barking and Dagenham 002",46.9,1162,24.7761194029851,1763,37.590618336887,601
"4","E02000004","Barking and Dagenham 003",24.8,161,6.49193548387097,845,34.0725806451613,684
"5","E02000005","Barking and Dagenham 004",72.1,121,1.67822468793343,1229,17.0457697642164,1108
"6","E02000007","Barking and Dagenham 006",50.6,1305,25.7905138339921,1261,24.9209486166008,-44
"7","E02000008","Barking and Dagenham 007",81.5,509,6.24539877300614,2062,25.3006134969325,1553
"8","E02000009","Barking and Dagenham 008",87.4,81,0.926773455377574,1316,15.0572082379863,1235
"9","E02000010","Barking and Dagenham 009",76.8,126,1.640625,1240,16.1458333333333,1114
"10","E02000011","Barking and Dagenham 010",38.8,606,15.6185567010309,818,21.0824742268041,212
"11","E02000012","Barking and Dagenham 011",76,207,2.72368421052632,1545,20.3289473684211,1338
"12","E02000013","Barking and Dagenham 012",64.4,175,2.71739130434783,1234,19.1614906832298,1059
"13","E02000014","Barking and Dagenham 013",78.8,352,4.46700507614213,1422,18.0456852791878,1070
"14","E02000015","Barking and Dagenham 014",55.5,256,4.61261261261261,1011,18.2162162162162,755
"15","E02000016","Barking and Dagenham 015",86.6,3275,37.8175519630485,1038,11.986143187067,-2237
"16","E02000017","Barking and Dagenham 016",97,211,2.17525773195876,1110,11.4432989690722,899
"17","E02000018","Barking and Dagenham 017",65.5,94,1.43511450381679,1218,18.5954198473282,1124
"18","E02000019","Barking and Dagenham 018",27.2,1278,46.9852941176471,1149,42.2426470588235,-129
"19","E02000020","Barking and Dagenham 019",27.1,1791,66.0885608856089,1333,49.1881918819188,-458
"20","E02000021","Barking and Dagenham 020",27.4,1388,50.6569343065693,1121,40.9124087591241,-267
"21","E02000022","Barking and Dagenham 021",117.2,462,3.9419795221843,906,7.73037542662116,444
"22","E02000023","Barking and Dagenham 022",37.1,587,15.822102425876,759,20.4582210242588,172
"23","E02000024","Barnet 001",27.1,1602,59.1143911439114,1461,53.9114391143911,-141
"24","E02000025","Barnet 002",33.1,235,7.09969788519637,1204,36.3746223564955,969
"25","E02000026","Barnet 003",43.1,68,1.57772621809745,605,14.0371229698376,537
"26","E02000027","Barnet 004",57.3,880,15.3577661431065,1327,23.1588132635253,447
"27","E02000028","Barnet 005",58.4,370,6.33561643835616,814,13.9383561643836,444
"28","E02000029","Barnet 006",50.6,408,8.06324110671937,1115,22.0355731225296,707
"29","E02000030","Barnet 007",6.3,240,38.0952380952381,980,155.555555555556,740
"30","E02000031","Barnet 008",37.6,1361,36.1968085106383,1259,33.4840425531915,-102
"31","E02000032","Barnet 009",56.2,79,1.40569395017794,989,17.5978647686833,910
"32","E02000033","Barnet 010",48.1,988,20.5405405405405,1527,31.7463617463617,539
"33","E02000034","Barnet 011",54.6,202,3.6996336996337,1540,28.2051282051282,1338
"34","E02000035","Barnet 012",61.4,409,6.66123778501629,1538,25.0488599348534,1129
"35","E02000036","Barnet 013",59.9,150,2.50417362270451,1524,25.4424040066778,1374
"36","E02000037","Barnet 014",22.5,257,11.4222222222222,1141,50.7111111111111,884
"37","E02000038","Barnet 015",59.7,348,5.82914572864322,2204,36.9179229480737,1856
"38","E02000039","Barnet 016",31.3,561,17.9233226837061,868,27.7316293929712,307
"39","E02000040","Barnet 017",14,1198,85.5714285714286,950,67.8571428571429,-248
"40","E02000041","Barnet 018",65.3,1434,21.9601837672282,1180,18.0704441041348,-254
"41","E02000042","Barnet 019",87.7,1419,16.1801596351197,2313,26.3740022805017,894
"42","E02000043","Barnet 020",52.4,9,0.17175572519084,1101,21.0114503816794,1092
"43","E02000044","Barnet 021",72.9,148,2.03017832647462,1213,16.639231824417,1065
"44","E02000045","Barnet 022",59,320,5.42372881355932,2022,34.271186440678,1702
"45","E02000046","Barnet 023",72.9,705,9.67078189300411,1377,18.8888888888889,672
"46","E02000047","Barnet 024",80,591,7.3875,1932,24.15,1341
"47","E02000048","Barnet 025",31.8,276,8.67924528301887,1730,54.4025157232704,1454
"48","E02000049","Barnet 026",107.9,283,2.62279888785913,1245,11.5384615384615,962
"49","E02000050","Barnet 027",47.5,441,9.28421052631579,2144,45.1368421052632,1703
"50","E02000051","Barnet 028",59.7,1318,22.0770519262982,1405,23.534338358459,87
"51","E02000052","Barnet 029",100.1,548,5.47452547452547,2258,22.5574425574426,1710
"52","E02000053","Barnet 030",56.1,1349,24.0463458110517,1572,28.0213903743315,223
"53","E02000054","Barnet 031",48,316,6.58333333333333,1173,24.4375,857
"54","E02000055","Barnet 032",77.3,1854,23.9844760672704,2038,26.3648124191462,184
"55","E02000056","Barnet 033",28.5,299,10.4912280701754,1697,59.5438596491228,1398
"56","E02000057","Barnet 034",68.4,295,4.31286549707602,1085,15.8625730994152,790
"57","E02000058","Barnet 035",56.4,775,13.741134751773,2102,37.2695035460993,1327
"58","E02000059","Barnet 036",47.7,895,18.7631027253669,2016,42.2641509433962,1121
"59","E02000060","Barnet 037",88.6,406,4.5823927765237,1806,20.3837471783296,1400
"60","E02000061","Barnet 038",50.5,1005,19.9009900990099,1687,33.4059405940594,682
"61","E02000062","Barnet 039",34.5,3968,115.014492753623,982,28.463768115942,-2986
"62","E02000063","Barnet 040",67.2,135,2.00892857142857,1260,18.75,1125
"63","E02000064","Barnet 041",78.7,125,1.58831003811944,1081,13.7357052096569,956
"64","E02000065","Bexley 001",23.9,757,31.673640167364,1262,52.8033472803347,505
"65","E02000066","Bexley 002",61.3,127,2.07177814029364,1681,27.4225122349103,1554
"66","E02000067","Bexley 003",37.8,837,22.1428571428571,1614,42.6984126984127,777
"67","E02000068","Bexley 004",32.5,1871,57.5692307692308,1315,40.4615384615385,-556
"68","E02000069","Bexley 005",42.7,154,3.60655737704918,866,20.2810304449649,712
"69","E02000070","Bexley 006",42.4,38,0.89622641509434,1274,30.0471698113208,1236
"70","E02000071","Bexley 007",61.9,309,4.99192245557351,1105,17.8513731825525,796
"71","E02000072","Bexley 008",26.8,743,27.7238805970149,1902,70.9701492537313,1159
"72","E02000073","Bexley 009",67,118,1.76119402985075,1812,27.044776119403,1694
"73","E02000074","Bexley 010",67.8,201,2.9646017699115,1247,18.3923303834808,1046
"74","E02000075","Bexley 011",51.8,64,1.23552123552124,1222,23.5907335907336,1158
"75","E02000077","Bexley 013",70,71,1.01428571428571,1382,19.7428571428571,1311
"76","E02000078","Bexley 014",51.5,101,1.96116504854369,1482,28.7766990291262,1381
"77","E02000079","Bexley 015",47.7,3820,80.083857442348,959,20.104821802935,-2861
"78","E02000080","Bexley 016",55.7,811,14.5601436265709,1609,28.8868940754039,798
"79","E02000081","Bexley 017",34.1,403,11.8181818181818,871,25.5425219941349,468
"80","E02000082","Bexley 018",59.3,212,3.57504215851602,1593,26.8634064080944,1381
"81","E02000083","Bexley 019",26.1,1565,59.9616858237548,1405,53.8314176245211,-160
"82","E02000084","Bexley 020",41,271,6.60975609756098,1969,48.0243902439024,1698
"83","E02000085","Bexley 021",48.6,112,2.30452674897119,1083,22.2839506172839,971
"84","E02000086","Bexley 022",49.2,137,2.78455284552845,1099,22.3373983739837,962
"85","E02000087","Bexley 023",20.4,297,14.5588235294118,1103,54.0686274509804,806
"86","E02000088","Bexley 024",38.7,69,1.78294573643411,1221,31.5503875968992,1152
"87","E02000089","Bexley 025",56.9,80,1.40597539543058,1097,19.2794376098418,1017
"88","E02000090","Bexley 026",48.2,2536,52.6141078838174,1115,23.1327800829876,-1421
"89","E02000091","Bexley 027",35.4,826,23.3333333333333,1357,38.3333333333333,531
"90","E02000092","Bexley 028",10.7,1010,94.392523364486,887,82.8971962616823,-123
"91","E02000093","Brent 001",79,701,8.87341772151899,2078,26.3037974683544,1377
"92","E02000094","Brent 002",75.2,667,8.86968085106383,1537,20.438829787234,870
"93","E02000095","Brent 003",64.1,655,10.2184087363495,1835,28.6271450858034,1180
"94","E02000096","Brent 004",46.5,355,7.63440860215054,1042,22.4086021505376,687
"95","E02000097","Brent 005",47.9,242,5.05219206680585,1565,32.6722338204593,1323
"96","E02000098","Brent 006",43.2,163,3.77314814814815,1301,30.1157407407407,1138
"97","E02000099","Brent 007",67.6,746,11.0355029585799,1589,23.5059171597633,843
"98","E02000100","Brent 008",40.4,2599,64.3316831683168,1483,36.7079207920792,-1116
"99","E02000101","Brent 009",66.5,953,14.3308270676692,1404,21.1127819548872,451
"100","E02000102","Brent 010",57.3,78,1.36125654450262,1045,18.2373472949389,967
"101","E02000103","Brent 011",49.2,1335,27.1341463414634,1439,29.2479674796748,104
"102","E02000104","Brent 012",61.1,300,4.90998363338789,1046,17.1194762684124,746
"103","E02000105","Brent 013",67.2,294,4.375,1950,29.0178571428571,1656
"104","E02000106","Brent 014",76.2,816,10.7086614173228,1871,24.5538057742782,1055
"105","E02000107","Brent 015",112,317,2.83035714285714,2649,23.6517857142857,2332
"106","E02000108","Brent 016",81,13,0.160493827160494,1279,15.7901234567901,1266
"107","E02000109","Brent 017",50.8,3612,71.1023622047244,2147,42.2637795275591,-1465
"108","E02000110","Brent 018",101.2,82,0.810276679841897,1621,16.0177865612648,1539
"109","E02000111","Brent 019",86.7,909,10.4844290657439,2219,25.5940023068051,1310
"110","E02000112","Brent 020",74.3,1890,25.4374158815612,2147,28.8963660834455,257
"111","E02000113","Brent 021",65.1,1267,19.4623655913979,1531,23.5176651305684,264
"112","E02000114","Brent 022",146.9,291,1.98093941456773,2128,14.4860449285228,1837
"113","E02000115","Brent 023",98.3,59,0.600203458799593,2190,22.2787385554425,2131
"114","E02000116","Brent 024",74.4,754,10.1344086021505,1505,20.2284946236559,751
"115","E02000117","Brent 025",135,462,3.42222222222222,2018,14.9481481481481,1556
"116","E02000118","Brent 026",76.4,796,10.4188481675393,1814,23.7434554973822,1018
"117","E02000119","Brent 027",28.2,6061,214.929078014184,1046,37.0921985815603,-5015
"118","E02000120","Brent 028",182.1,436,2.39428885227897,2307,12.668863261944,1871
"119","E02000121","Brent 029",64,1799,28.109375,1742,27.21875,-57
"120","E02000122","Brent 030",67.2,141,2.09821428571429,1604,23.8690476190476,1463
"121","E02000123","Brent 031",142.2,972,6.83544303797468,2966,20.8579465541491,1994
"122","E02000124","Brent 032",93.2,712,7.63948497854077,2617,28.0793991416309,1905
"123","E02000125","Brent 033",141.2,52,0.368271954674221,2639,18.6898016997167,2587
"124","E02000126","Brent 034",177.6,295,1.66103603603604,1292,7.27477477477477,997
"125","E02000127","Bromley 001",38.1,138,3.62204724409449,1464,38.4251968503937,1326
"126","E02000128","Bromley 002",28.8,254,8.81944444444444,1016,35.2777777777778,762
"127","E02000130","Bromley 004",53.3,751,14.0900562851782,1591,29.8499061913696,840
"128","E02000131","Bromley 005",50.7,212,4.18145956607495,2062,40.6706114398422,1850
"129","E02000132","Bromley 006",49.3,1708,34.6450304259635,1880,38.1338742393509,172
"130","E02000133","Bromley 007",16.1,488,30.3105590062112,1488,92.4223602484472,1000
"131","E02000134","Bromley 008",55.7,2633,47.2710951526032,1921,34.4883303411131,-712
"132","E02000135","Bromley 009",84.1,370,4.39952437574316,1864,22.1640903686088,1494
"133","E02000136","Bromley 010",12.6,291,23.0952380952381,503,39.9206349206349,212
"134","E02000137","Bromley 011",42,119,2.83333333333333,1557,37.0714285714286,1438
"135","E02000138","Bromley 012",38.1,551,14.4619422572178,1436,37.6902887139108,885
"136","E02000139","Bromley 013",47.4,320,6.75105485232068,1626,34.3037974683544,1306
"137","E02000140","Bromley 014",42.6,326,7.65258215962441,1166,27.3708920187793,840
"138","E02000141","Bromley 015",74.4,164,2.20430107526882,1496,20.1075268817204,1332
"139","E02000142","Bromley 016",46.6,1326,28.4549356223176,1088,23.3476394849785,-238
"140","E02000144","Bromley 018",43.7,8203,187.711670480549,1632,37.3455377574371,-6571
"141","E02000145","Bromley 019",7.2,813,112.916666666667,1132,157.222222222222,319
"142","E02000146","Bromley 020",46.2,743,16.0822510822511,1432,30.995670995671,689
"143","E02000147","Bromley 021",35.4,127,3.58757062146893,871,24.6045197740113,744
"144","E02000148","Bromley 022",23.5,512,21.7872340425532,872,37.1063829787234,360
"145","E02000149","Bromley 023",41,611,14.9024390243902,1176,28.6829268292683,565
"146","E02000150","Bromley 024",27.1,878,32.3985239852398,1470,54.2435424354244,592
"147","E02000151","Bromley 025",36,82,2.27777777777778,1146,31.8333333333333,1064
"148","E02000152","Bromley 026",25.5,265,10.3921568627451,941,36.9019607843137,676
"149","E02000153","Bromley 027",34.5,107,3.10144927536232,1286,37.2753623188406,1179
"150","E02000154","Bromley 028",38.1,1849,48.5301837270341,1228,32.2309711286089,-621
"151","E02000155","Bromley 029",38,47,1.23684210526316,723,19.0263157894737,676
"152","E02000156","Bromley 030",31.5,1191,37.8095238095238,2191,69.5555555555556,1000
"153","E02000157","Bromley 031",32.5,157,4.83076923076923,1122,34.5230769230769,965
"154","E02000158","Bromley 032",34.1,83,2.43401759530792,901,26.4222873900293,818
"155","E02000159","Bromley 033",11.6,742,63.9655172413793,979,84.3965517241379,237
"156","E02000160","Bromley 034",9.3,687,73.8709677419355,1075,115.591397849462,388
"157","E02000161","Bromley 035",48.9,219,4.47852760736196,1305,26.6871165644172,1086
"158","E02000162","Bromley 036",5.2,1527,293.653846153846,534,102.692307692308,-993
"159","E02000163","Bromley 037",6.8,586,86.1764705882353,934,137.352941176471,348
"160","E02000165","Bromley 039",12.4,190,15.3225806451613,886,71.4516129032258,696
"161","E02000166","Camden 001",26.2,502,19.1603053435114,1549,59.1221374045802,1047
"162","E02000167","Camden 002",38.2,870,22.7748691099476,1764,46.1780104712042,894
"163","E02000168","Camden 003",120.1,1064,8.85928393005829,1548,12.8892589508743,484
"164","E02000169","Camden 004",68,195,2.86764705882353,1492,21.9411764705882,1297
"165","E02000170","Camden 005",108.1,254,2.34967622571693,2233,20.6567992599445,1979
"166","E02000171","Camden 006",149.9,178,1.18745830553702,1639,10.9339559706471,1461
"167","E02000172","Camden 007",151.7,1023,6.74357284113382,1440,9.49241924851681,417
"168","E02000173","Camden 008",98.6,3957,40.131845841785,1886,19.1277890466531,-2071
"169","E02000174","Camden 009",159.7,367,2.29805886036318,1710,10.7075767063244,1343
"170","E02000175","Camden 010",127.9,883,6.90383111806099,2483,19.4136043784206,1600
"171","E02000176","Camden 011",160.2,174,1.08614232209738,1816,11.3358302122347,1642
"172","E02000177","Camden 012",170.9,250,1.46284376828555,1552,9.08133411351668,1302
"173","E02000178","Camden 013",157.7,242,1.53455928979074,2448,15.5231452124287,2206
"174","E02000179","Camden 014",165.5,119,0.719033232628399,1277,7.71601208459214,1158
"175","E02000180","Camden 015",169,154,0.911242603550296,1447,8.56213017751479,1293
"176","E02000181","Camden 016",142.5,51,0.357894736842105,2402,16.8561403508772,2351
"177","E02000182","Camden 017",83.9,534,6.36471990464839,1423,16.9606674612634,889
"178","E02000183","Camden 018",102.5,1460,14.2439024390244,1575,15.3658536585366,115
"179","E02000184","Camden 019",133.6,2443,18.2859281437126,1287,9.63323353293413,-1156
"180","E02000185","Camden 020",175.6,466,2.65375854214123,1565,8.9123006833713,1099
"181","E02000186","Camden 021",66.7,8772,131.514242878561,1125,16.8665667166417,-7647
"182","E02000187","Camden 022",84.2,1476,17.5296912114014,857,10.1781472684086,-619
"183","E02000188","Camden 023",163.9,855,5.21659548505186,844,5.14948139109213,-11
"184","E02000189","Camden 024",199.7,704,3.52528793189785,429,2.14822233350025,-275
"185","E02000190","Camden 025",203.2,2037,10.0246062992126,504,2.48031496062992,-1533
"186","E02000191","Camden 026",116.8,16642,142.482876712329,516,4.41780821917808,-16126
"187","E02000192","Camden 027",165.5,10467,63.2447129909366,628,3.79456193353474,-9839
"188","E02000193","Camden 028",70.1,33714,480.941512125535,813,11.5977175463623,-32901
"189","E02000194","Croydon 001",62.5,554,8.864,1870,29.92,1316
"190","E02000195","Croydon 002",47.3,127,2.68498942917548,1857,39.2600422832981,1730
"191","E02000196","Croydon 003",60.4,223,3.69205298013245,1312,21.7218543046358,1089
"192","E02000197","Croydon 004",91.6,250,2.7292576419214,1690,18.4497816593886,1440
"193","E02000198","Croydon 005",90.5,449,4.96132596685083,1526,16.8618784530387,1077
"194","E02000199","Croydon 006",97.7,97,0.992835209825998,1701,17.410440122825,1604
"195","E02000200","Croydon 007",66.5,421,6.33082706766917,1736,26.1052631578947,1315
"196","E02000201","Croydon 008",96.4,339,3.51659751037344,1704,17.6763485477178,1365
"197","E02000202","Croydon 009",116.3,136,1.16938950988822,1725,14.8323301805675,1589
"198","E02000203","Croydon 010",97.5,920,9.43589743589744,1329,13.6307692307692,409
"199","E02000204","Croydon 011",86.6,378,4.364896073903,1821,21.0277136258661,1443
"200","E02000206","Croydon 013",65.3,1279,19.5865237366003,1668,25.5436447166922,389
"201","E02000207","Croydon 014",72.5,441,6.08275862068966,1738,23.9724137931034,1297
"202","E02000208","Croydon 015",111.8,1856,16.6010733452594,1359,12.1556350626118,-497
"203","E02000209","Croydon 016",83.9,579,6.90107270560191,1587,18.9153754469607,1008
"204","E02000210","Croydon 017",107.2,156,1.45522388059701,1740,16.2313432835821,1584
"205","E02000211","Croydon 018",47.7,136,2.85115303983229,1625,34.0670859538784,1489
"206","E02000212","Croydon 019",68.7,1638,23.8427947598253,1393,20.2765647743814,-245
"207","E02000213","Croydon 020",92.6,3579,38.6501079913607,1359,14.6760259179266,-2220
"208","E02000214","Croydon 021",60.5,249,4.11570247933884,1195,19.7520661157025,946
"209","E02000215","Croydon 022",106.6,957,8.97748592870544,2149,20.1594746716698,1192
"210","E02000216","Croydon 023",30.8,199,6.46103896103896,982,31.8831168831169,783
"211","E02000217","Croydon 024",67.7,4051,59.8375184638109,1787,26.3958641063515,-2264
"212","E02000218","Croydon 025",58.3,101,1.73241852487136,1049,17.9931389365352,948
"213","E02000219","Croydon 026",13.5,565,41.8518518518519,1329,98.4444444444444,764
"214","E02000220","Croydon 027",66.1,8769,132.662632375189,1699,25.7034795763994,-7070
"215","E02000221","Croydon 028",35,2403,68.6571428571429,1597,45.6285714285714,-806
"216","E02000222","Croydon 029",42.4,875,20.6367924528302,1554,36.6509433962264,679
"217","E02000223","Croydon 030",87.1,105,1.20551090700344,1287,14.7761194029851,1182
"218","E02000224","Croydon 031",60,957,15.95,1714,28.5666666666667,757
"219","E02000225","Croydon 032",46.2,360,7.79220779220779,1468,31.7748917748918,1108
"220","E02000226","Croydon 033",23,408,17.7391304347826,1421,61.7826086956522,1013
"221","E02000227","Croydon 034",24.8,495,19.9596774193548,2621,105.685483870968,2126
"222","E02000228","Croydon 035",24.3,237,9.75308641975309,906,37.2839506172839,669
"223","E02000229","Croydon 036",48.3,522,10.8074534161491,891,18.4472049689441,369
"224","E02000230","Croydon 037",38.4,1451,37.7864583333333,1712,44.5833333333333,261
"225","E02000231","Croydon 038",22.9,359,15.6768558951965,700,30.5676855895197,341
"226","E02000232","Croydon 039",14.2,126,8.87323943661972,574,40.4225352112676,448
"227","E02000233","Croydon 040",38.7,278,7.18346253229974,874,22.5839793281654,596
"228","E02000234","Croydon 041",25.8,802,31.0852713178295,1042,40.3875968992248,240
"229","E02000235","Croydon 042",12.9,291,22.5581395348837,1037,80.3875968992248,746
"230","E02000236","Croydon 043",21.4,206,9.62616822429907,1061,49.5794392523364,855
"231","E02000237","Croydon 044",15.1,227,15.0331125827815,773,51.1920529801325,546
"232","E02000238","Ealing 001",62.4,718,11.5064102564103,1586,25.4166666666667,868
"233","E02000239","Ealing 002",38.2,180,4.71204188481675,2000,52.3560209424084,1820
"234","E02000240","Ealing 003",59.4,106,1.78451178451178,1752,29.4949494949495,1646
"235","E02000241","Ealing 004",50.9,282,5.54027504911591,1087,21.3555992141454,805
"236","E02000242","Ealing 005",76.1,660,8.67279894875164,1018,13.377135348226,358
"237","E02000243","Ealing 006",29.9,2009,67.190635451505,1797,60.1003344481605,-212
"238","E02000244","Ealing 007",39.9,1056,26.4661654135338,1134,28.4210526315789,78
"239","E02000245","Ealing 008",49.3,81,1.64300202839757,1465,29.7160243407708,1384
"240","E02000246","Ealing 009",42.5,69,1.62352941176471,1183,27.8352941176471,1114
"241","E02000247","Ealing 010",73.7,255,3.45997286295794,1836,24.9118046132972,1581
"242","E02000248","Ealing 011",42.5,1856,43.6705882352941,1218,28.6588235294118,-638
"243","E02000249","Ealing 012",60.4,845,13.9900662251656,1205,19.9503311258278,360
"244","E02000250","Ealing 013",65,127,1.95384615384615,873,13.4307692307692,746
"245","E02000251","Ealing 014",84,66,0.785714285714286,1370,16.3095238095238,1304
"246","E02000252","Ealing 015",30.4,9227,303.519736842105,1985,65.2960526315789,-7242
"247","E02000253","Ealing 016",83.3,67,0.804321728691477,1694,20.3361344537815,1627
"248","E02000254","Ealing 017",86,67,0.779069767441861,1712,19.906976744186,1645
"249","E02000255","Ealing 018",61.1,170,2.7823240589198,1677,27.4468085106383,1507
"250","E02000256","Ealing 019",80.8,2414,29.8762376237624,1618,20.0247524752475,-796
"251","E02000257","Ealing 020",61.9,3536,57.124394184168,2339,37.7867528271406,-1197
