,O,D,flow
1,E09000001,E09000001,165
2,E09000001,E09000002,2775
3,E09000001,E09000003,7635
4,E09000001,E09000004,5313
5,E09000001,E09000005,4033
6,E09000001,E09000006,8805
7,E09000001,E09000007,8439
8,E09000001,E09000008,5494
9,E09000001,E09000009,4174
10,E09000001,E09000010,4656
11,E09000001,E09000011,6612
12,E09000001,E09000012,5225
13,E09000001,E09000013,7690
14,E09000001,E09000014,5677
15,E09000001,E09000015,2220
16,E09000001,E09000016,5168
17,E09000001,E09000017,1142
18,E09000001,E09000018,2470
19,E09000001,E09000019,7551
20,E09000001,E09000020,10072
21,E09000001,E09000021,1305
22,E09000001,E09000022,10873
23,E09000001,E09000023,7328
24,E09000001,E09000024,4691
25,E09000001,E09000025,6438
26,E09000001,E09000026,6797
27,E09000001,E09000027,3135
28,E09000001,E09000028,8713
29,E09000001,E09000029,1908
30,E09000001,E09000030,10092
31,E09000001,E09000031,5589
32,E09000001,E09000032,15089
33,E09000001,E09000033,11568
34,E09000002,E09000002,8719
35,E09000002,E09000004,7
36,E09000002,E09000010,14
37,E09000002,E09000011,31
38,E09000002,E09000012,8
39,E09000002,E09000014,25
40,E09000002,E09000016,2774
41,E09000002,E09000023,4
42,E09000002,E09000025,1300
43,E09000002,E09000026,1799
44,E09000002,E09000028,3
45,E09000002,E09000030,65
46,E09000002,E09000031,109
47,E09000003,E09000003,19580
48,E09000003,E09000005,3137
49,E09000003,E09000007,387
50,E09000003,E09000008,4
51,E09000003,E09000009,97
52,E09000003,E09000010,1940
53,E09000003,E09000012,74
54,E09000003,E09000013,12
55,E09000003,E09000014,767
56,E09000003,E09000015,1906
57,E09000003,E09000017,10
58,E09000003,E09000018,10
59,E09000003,E09000019,173
60,E09000003,E09000020,8
61,E09000003,E09000022,8
62,E09000003,E09000026,11
63,E09000003,E09000028,3
64,E09000003,E09000030,5
65,E09000003,E09000031,75
66,E09000003,E09000033,63
67,E09000004,E09000004,14050
68,E09000004,E09000006,633
69,E09000004,E09000008,11
70,E09000004,E09000011,2539
71,E09000004,E09000012,3
72,E09000004,E09000016,12
73,E09000004,E09000022,8
74,E09000004,E09000023,276
75,E09000004,E09000025,16
76,E09000004,E09000028,29
77,E09000005,E09000002,13
78,E09000005,E09000003,1901
79,E09000005,E09000005,16979
80,E09000005,E09000007,304
81,E09000005,E09000008,4
82,E09000005,E09000009,3216
83,E09000005,E09000010,93
84,E09000005,E09000011,14
85,E09000005,E09000012,26
86,E09000005,E09000013,315
87,E09000005,E09000014,113
88,E09000005,E09000015,6087
89,E09000005,E09000017,721
90,E09000005,E09000018,260
91,E09000005,E09000019,10
92,E09000005,E09000020,108
93,E09000005,E09000021,6
94,E09000005,E09000022,7
95,E09000005,E09000023,10
96,E09000005,E09000025,52
97,E09000005,E09000026,8
98,E09000005,E09000027,10
99,E09000005,E09000028,20
100,E09000005,E09000030,13
101,E09000005,E09000031,15
102,E09000005,E09000032,59
103,E09000005,E09000033,460
104,E09000006,E09000004,1461
105,E09000006,E09000006,22316
106,E09000006,E09000008,2959
107,E09000006,E09000011,770
108,E09000006,E09000012,6
109,E09000006,E09000019,3
110,E09000006,E09000022,166
111,E09000006,E09000023,3064
112,E09000006,E09000024,14
113,E09000006,E09000025,3
114,E09000006,E09000026,3
115,E09000006,E09000027,3
116,E09000006,E09000028,184
117,E09000006,E09000029,38
118,E09000006,E09000030,5
119,E09000006,E09000031,6
120,E09000007,E09000001,109
121,E09000007,E09000002,307
122,E09000007,E09000003,7858
123,E09000007,E09000004,498
124,E09000007,E09000005,4751
125,E09000007,E09000006,823
126,E09000007,E09000007,9586
127,E09000007,E09000008,1499
128,E09000007,E09000009,1319
129,E09000007,E09000010,2782
130,E09000007,E09000011,1307
131,E09000007,E09000012,5319
132,E09000007,E09000013,2291
133,E09000007,E09000014,8321
134,E09000007,E09000015,612
135,E09000007,E09000016,265
136,E09000007,E09000017,234
137,E09000007,E09000018,806
138,E09000007,E09000019,7654
139,E09000007,E09000020,1936
140,E09000007,E09000021,240
141,E09000007,E09000022,5933
142,E09000007,E09000023,2902
143,E09000007,E09000024,1033
144,E09000007,E09000025,1695
145,E09000007,E09000026,831
146,E09000007,E09000027,749
147,E09000007,E09000028,4425
148,E09000007,E09000029,108
149,E09000007,E09000030,2810
150,E09000007,E09000031,2643
151,E09000007,E09000032,4220
152,E09000007,E09000033,3987
153,E09000008,E09000004,10
154,E09000008,E09000006,1954
155,E09000008,E09000008,29963
156,E09000008,E09000011,62
157,E09000008,E09000012,7
158,E09000008,E09000021,32
159,E09000008,E09000022,1181
160,E09000008,E09000023,623
161,E09000008,E09000024,1234
162,E09000008,E09000027,6
163,E09000008,E09000028,298
164,E09000008,E09000029,3054
165,E09000008,E09000031,3
166,E09000008,E09000032,245
167,E09000008,E09000033,3
168,E09000009,E09000003,547
169,E09000009,E09000004,4
170,E09000009,E09000005,5171
171,E09000009,E09000006,16
172,E09000009,E09000007,95
173,E09000009,E09000008,19
174,E09000009,E09000009,19471
175,E09000009,E09000010,87
176,E09000009,E09000011,10
177,E09000009,E09000012,93
178,E09000009,E09000013,997
179,E09000009,E09000014,44
180,E09000009,E09000015,2071
181,E09000009,E09000017,4048
182,E09000009,E09000018,2839
183,E09000009,E09000019,49
184,E09000009,E09000020,239
185,E09000009,E09000021,34
186,E09000009,E09000022,78
187,E09000009,E09000023,3
188,E09000009,E09000024,20
189,E09000009,E09000025,5
190,E09000009,E09000026,26
191,E09000009,E09000027,242
192,E09000009,E09000028,39
193,E09000009,E09000029,3
194,E09000009,E09000030,6
195,E09000009,E09000031,17
196,E09000009,E09000032,221
197,E09000009,E09000033,424
198,E09000010,E09000002,45
199,E09000010,E09000003,1101
200,E09000010,E09000004,17
201,E09000010,E09000005,38
202,E09000010,E09000006,7
203,E09000010,E09000007,21
204,E09000010,E09000009,21
205,E09000010,E09000010,20249
206,E09000010,E09000011,7
207,E09000010,E09000012,163
208,E09000010,E09000013,4
209,E09000010,E09000014,1786
210,E09000010,E09000015,7
211,E09000010,E09000016,5
212,E09000010,E09000019,121
213,E09000010,E09000023,8
214,E09000010,E09000024,10
215,E09000010,E09000025,130
216,E09000010,E09000026,114
217,E09000010,E09000028,6
218,E09000010,E09000031,945
219,E09000010,E09000032,11
220,E09000010,E09000033,6
221,E09000011,E09000002,15
222,E09000011,E09000003,11
223,E09000011,E09000004,5716
224,E09000011,E09000005,5
225,E09000011,E09000006,588
226,E09000011,E09000008,21
227,E09000011,E09000009,5
228,E09000011,E09000010,8
229,E09000011,E09000011,12683
230,E09000011,E09000012,51
231,E09000011,E09000014,21
232,E09000011,E09000016,8
233,E09000011,E09000022,67
234,E09000011,E09000023,2351
235,E09000011,E09000025,265
236,E09000011,E09000026,18
237,E09000011,E09000028,589
238,E09000011,E09000030,82
239,E09000011,E09000031,29
240,E09000011,E09000032,5
241,E09000012,E09000001,27
242,E09000012,E09000002,372
243,E09000012,E09000003,566
244,E09000012,E09000004,38
245,E09000012,E09000005,233
246,E09000012,E09000006,142
247,E09000012,E09000007,634
248,E09000012,E09000008,97
249,E09000012,E09000009,72
250,E09000012,E09000010,1136
251,E09000012,E09000011,282
252,E09000012,E09000012,6209
253,E09000012,E09000013,71
254,E09000012,E09000014,1973
255,E09000012,E09000015,12
256,E09000012,E09000016,74
257,E09000012,E09000017,11
258,E09000012,E09000018,51
259,E09000012,E09000019,1586
260,E09000012,E09000020,146
261,E09000012,E09000022,860
262,E09000012,E09000023,575
263,E09000012,E09000024,93
264,E09000012,E09000025,1406
265,E09000012,E09000026,510
266,E09000012,E09000027,42
267,E09000012,E09000028,973
268,E09000012,E09000030,1586
269,E09000012,E09000031,2275
270,E09000012,E09000032,223
271,E09000012,E09000033,456
272,E09000013,E09000002,3
273,E09000013,E09000003,303
274,E09000013,E09000004,18
275,E09000013,E09000005,2482
276,E09000013,E09000006,78
277,E09000013,E09000007,758
278,E09000013,E09000008,116
279,E09000013,E09000009,5623
280,E09000013,E09000010,89
281,E09000013,E09000011,66
282,E09000013,E09000012,374
283,E09000013,E09000013,5202
284,E09000013,E09000014,107
285,E09000013,E09000015,445
286,E09000013,E09000017,940
287,E09000013,E09000018,2985
288,E09000013,E09000019,409
289,E09000013,E09000020,1637
290,E09000013,E09000021,474
291,E09000013,E09000022,1268
292,E09000013,E09000023,218
293,E09000013,E09000024,699
294,E09000013,E09000025,98
295,E09000013,E09000026,29
296,E09000013,E09000027,1475
297,E09000013,E09000028,617
298,E09000013,E09000029,139
299,E09000013,E09000030,73
300,E09000013,E09000031,80
301,E09000013,E09000032,3844
302,E09000013,E09000033,1364
303,E09000014,E09000002,46
304,E09000014,E09000003,980
305,E09000014,E09000005,65
306,E09000014,E09000006,9
307,E09000014,E09000007,103
308,E09000014,E09000008,23
309,E09000014,E09000009,3
310,E09000014,E09000010,4835
311,E09000014,E09000011,8
312,E09000014,E09000012,615
313,E09000014,E09000014,6227
314,E09000014,E09000015,20
315,E09000014,E09000017,4
316,E09000014,E09000019,526
317,E09000014,E09000020,3
318,E09000014,E09000022,3
319,E09000014,E09000023,10
320,E09000014,E09000024,4
321,E09000014,E09000025,103
322,E09000014,E09000026,60
323,E09000014,E09000027,3
324,E09000014,E09000028,3
325,E09000014,E09000030,9
326,E09000014,E09000031,1140
327,E09000014,E09000033,17
328,E09000015,E09000002,5
329,E09000015,E09000003,718
330,E09000015,E09000005,3086
331,E09000015,E09000007,19
332,E09000015,E09000009,813
333,E09000015,E09000010,10
334,E09000015,E09000012,3
335,E09000015,E09000013,8
336,E09000015,E09000014,20
337,E09000015,E09000015,10806
338,E09000015,E09000017,1527
339,E09000015,E09000018,35
340,E09000015,E09000019,3
341,E09000015,E09000023,3
342,E09000015,E09000028,4
343,E09000015,E09000033,3
344,E09000016,E09000002,4269
345,E09000016,E09000004,17
346,E09000016,E09000010,9
347,E09000016,E09000016,18201
348,E09000016,E09000019,3
349,E09000016,E09000025,540
350,E09000016,E09000026,2196
351,E09000016,E09000030,3
352,E09000016,E09000031,109
353,E09000016,E09000033,3
354,E09000017,E09000003,56
355,E09000017,E09000005,717
356,E09000017,E09000006,8
357,E09000017,E09000007,19
358,E09000017,E09000008,67
359,E09000017,E09000009,7362
360,E09000017,E09000012,16
361,E09000017,E09000013,198
362,E09000017,E09000014,4
363,E09000017,E09000015,2850
364,E09000017,E09000017,27492
365,E09000017,E09000018,9368
366,E09000017,E09000019,10
367,E09000017,E09000020,30
368,E09000017,E09000021,232
369,E09000017,E09000022,64
370,E09000017,E09000023,8
371,E09000017,E09000024,70
372,E09000017,E09000025,4
373,E09000017,E09000026,5
374,E09000017,E09000027,1008
375,E09000017,E09000028,19
376,E09000017,E09000029,43
377,E09000017,E09000030,5
378,E09000017,E09000032,164
379,E09000017,E09000033,71
380,E09000018,E09000003,28
381,E09000018,E09000004,4
382,E09000018,E09000005,367
383,E09000018,E09000006,3
384,E09000018,E09000007,41
385,E09000018,E09000008,23
386,E09000018,E09000009,5371
387,E09000018,E09000010,3
388,E09000018,E09000011,9
389,E09000018,E09000012,12
390,E09000018,E09000013,1221
391,E09000018,E09000014,10
392,E09000018,E09000015,175
393,E09000018,E09000017,1779
394,E09000018,E09000018,18348
395,E09000018,E09000019,36
396,E09000018,E09000020,208
397,E09000018,E09000021,278
398,E09000018,E09000022,75
399,E09000018,E09000023,6
400,E09000018,E09000024,34
401,E09000018,E09000025,27
402,E09000018,E09000027,3096
403,E09000018,E09000028,54
404,E09000018,E09000029,13
405,E09000018,E09000032,398
406,E09000018,E09000033,153
407,E09000019,E09000001,20
408,E09000019,E09000002,248
409,E09000019,E09000003,2813
410,E09000019,E09000004,207
411,E09000019,E09000005,1267
412,E09000019,E09000006,219
413,E09000019,E09000007,2509
414,E09000019,E09000008,501
415,E09000019,E09000009,518
416,E09000019,E09000010,2797
417,E09000019,E09000011,788
418,E09000019,E09000012,4124
419,E09000019,E09000013,424
420,E09000019,E09000014,5679
421,E09000019,E09000015,108
422,E09000019,E09000016,57
423,E09000019,E09000017,77
424,E09000019,E09000018,190
425,E09000019,E09000019,6695
426,E09000019,E09000020,494
427,E09000019,E09000021,43
428,E09000019,E09000022,2422
429,E09000019,E09000023,1097
430,E09000019,E09000024,349
431,E09000019,E09000025,913
432,E09000019,E09000026,679
433,E09000019,E09000027,202
434,E09000019,E09000028,2480
435,E09000019,E09000029,46
436,E09000019,E09000030,2018
437,E09000019,E09000031,2245
438,E09000019,E09000032,1317
439,E09000019,E09000033,1349
440,E09000020,E09000001,12
441,E09000020,E09000002,5
442,E09000020,E09000003,448
443,E09000020,E09000004,3
444,E09000020,E09000005,1821
445,E09000020,E09000006,40
446,E09000020,E09000007,686
447,E09000020,E09000008,251
448,E09000020,E09000009,1464
449,E09000020,E09000010,38
450,E09000020,E09000011,115
451,E09000020,E09000012,271
452,E09000020,E09000013,3792
453,E09000020,E09000014,199
454,E09000020,E09000015,82
455,E09000020,E09000017,62
456,E09000020,E09000018,835
457,E09000020,E09000019,263
458,E09000020,E09000020,3850
459,E09000020,E09000021,143
460,E09000020,E09000022,2070
461,E09000020,E09000023,256
462,E09000020,E09000024,545
463,E09000020,E09000025,77
464,E09000020,E09000026,30
465,E09000020,E09000027,546
466,E09000020,E09000028,792
467,E09000020,E09000029,110
468,E09000020,E09000030,137
469,E09000020,E09000031,65
470,E09000020,E09000032,3838
471,E09000020,E09000033,2033
472,E09000021,E09000003,3
473,E09000021,E09000005,4
474,E09000021,E09000008,217
475,E09000021,E09000009,66
476,E09000021,E09000011,5
477,E09000021,E09000012,3
478,E09000021,E09000013,43
479,E09000021,E09000017,21
480,E09000021,E09000018,679
481,E09000021,E09000021,8759
482,E09000021,E09000022,170
483,E09000021,E09000024,2026
484,E09000021,E09000027,1770
485,E09000021,E09000028,29
486,E09000021,E09000029,1792
487,E09000021,E09000032,836
488,E09000022,E09000001,16
489,E09000022,E09000002,67
490,E09000022,E09000003,168
491,E09000022,E09000004,548
492,E09000022,E09000005,304
493,E09000022,E09000006,1302
494,E09000022,E09000007,444
495,E09000022,E09000008,3786
496,E09000022,E09000009,148
497,E09000022,E09000010,148
498,E09000022,E09000011,1497
499,E09000022,E09000012,671
500,E09000022,E09000013,391
501,E09000022,E09000014,359
502,E09000022,E09000015,9
503,E09000022,E09000016,17
504,E09000022,E09000017,23
505,E09000022,E09000018,201
506,E09000022,E09000019,656
507,E09000022,E09000020,334
508,E09000022,E09000021,92
509,E09000022,E09000022,9529
510,E09000022,E09000023,3791
511,E09000022,E09000024,1138
512,E09000022,E09000025,403
513,E09000022,E09000026,133
514,E09000022,E09000027,232
515,E09000022,E09000028,5133
516,E09000022,E09000029,257
517,E09000022,E09000030,450
518,E09000022,E09000031,406
519,E09000022,E09000032,3099
520,E09000022,E09000033,577
521,E09000023,E09000002,9
522,E09000023,E09000004,1075
523,E09000023,E09000006,1846
524,E09000023,E09000008,270
525,E09000023,E09000011,2706
526,E09000023,E09000012,22
527,E09000023,E09000015,3
528,E09000023,E09000020,5
529,E09000023,E09000022,339
530,E09000023,E09000023,9358
531,E09000023,E09000024,56
532,E09000023,E09000025,23
533,E09000023,E09000026,10
534,E09000023,E09000028,935
535,E09000023,E09000029,19
536,E09000023,E09000030,7
537,E09000023,E09000032,27
538,E09000024,E09000005,9
539,E09000024,E09000006,50
540,E09000024,E09000008,1529
541,E09000024,E09000009,22
542,E09000024,E09000011,12
543,E09000024,E09000012,7
544,E09000024,E09000013,78
545,E09000024,E09000018,20
546,E09000024,E09000020,7
547,E09000024,E09000021,1505
548,E09000024,E09000022,670
549,E09000024,E09000023,48
550,E09000024,E09000024,8948
551,E09000024,E09000027,127
552,E09000024,E09000028,80
553,E09000024,E09000029,3626
554,E09000024,E09000031,7
555,E09000024,E09000032,2472
556,E09000024,E09000033,3
557,E09000025,E09000002,2948
558,E09000025,E09000003,34
559,E09000025,E09000004,133
560,E09000025,E09000005,4
561,E09000025,E09000006,20
562,E09000025,E09000007,4
563,E09000025,E09000008,3
564,E09000025,E09000009,4
565,E09000025,E09000010,88
566,E09000025,E09000011,477
567,E09000025,E09000012,482
568,E09000025,E09000013,12
569,E09000025,E09000014,52
570,E09000025,E09000016,638
571,E09000025,E09000017,12
572,E09000025,E09000018,4
573,E09000025,E09000019,32
574,E09000025,E09000020,5
575,E09000025,E09000022,33
576,E09000025,E09000023,125
577,E09000025,E09000024,14
578,E09000025,E09000025,14521
579,E09000025,E09000026,3615
580,E09000025,E09000027,3
581,E09000025,E09000028,124
582,E09000025,E09000030,1018
583,E09000025,E09000031,1994
584,E09000025,E09000032,7
585,E09000026,E09000002,3040
586,E09000026,E09000010,16
587,E09000026,E09000011,7
588,E09000026,E09000012,24
589,E09000026,E09000014,12
590,E09000026,E09000015,4
591,E09000026,E09000016,1617
592,E09000026,E09000017,8
593,E09000026,E09000019,3
594,E09000026,E09000023,7
595,E09000026,E09000025,1421
596,E09000026,E09000026,12775
597,E09000026,E09000028,4
598,E09000026,E09000030,44
599,E09000026,E09000031,1349
600,E09000027,E09000003,21
601,E09000027,E09000005,23
602,E09000027,E09000006,3
603,E09000027,E09000007,4
604,E09000027,E09000008,20
605,E09000027,E09000009,601
606,E09000027,E09000010,3
607,E09000027,E09000013,241
608,E09000027,E09000015,16
609,E09000027,E09000017,50
610,E09000027,E09000018,3728
611,E09000027,E09000020,3
612,E09000027,E09000021,1659
613,E09000027,E09000022,18
614,E09000027,E09000023,5
615,E09000027,E09000024,216
616,E09000027,E09000027,8462
617,E09000027,E09000028,23
618,E09000027,E09000029,107
619,E09000027,E09000032,665
620,E09000027,E09000033,14
621,E09000028,E09000001,41
622,E09000028,E09000002,218
623,E09000028,E09000003,503
624,E09000028,E09000004,1503
625,E09000028,E09000005,763
626,E09000028,E09000006,1645
627,E09000028,E09000007,841
628,E09000028,E09000008,2353
629,E09000028,E09000009,316
630,E09000028,E09000010,583
631,E09000028,E09000011,3014
632,E09000028,E09000012,1467
633,E09000028,E09000013,442
634,E09000028,E09000014,1190
635,E09000028,E09000015,142
636,E09000028,E09000016,91
637,E09000028,E09000017,90
638,E09000028,E09000018,203
639,E09000028,E09000019,1804
640,E09000028,E09000020,517
641,E09000028,E09000021,179
642,E09000028,E09000022,5582
643,E09000028,E09000023,7074
644,E09000028,E09000024,778
645,E09000028,E09000025,1145
646,E09000028,E09000026,431
647,E09000028,E09000027,277
648,E09000028,E09000028,10869
649,E09000028,E09000029,294
650,E09000028,E09000030,1636
651,E09000028,E09000031,1000
652,E09000028,E09000032,2797
653,E09000028,E09000033,949
654,E09000029,E09000004,9
655,E09000029,E09000005,3
656,E09000029,E09000006,80
657,E09000029,E09000008,3743
658,E09000029,E09000009,3
659,E09000029,E09000010,4
660,E09000029,E09000011,40
661,E09000029,E09000018,16
662,E09000029,E09000021,147
663,E09000029,E09000022,210
664,E09000029,E09000023,51
665,E09000029,E09000024,1784
666,E09000029,E09000027,17
667,E09000029,E09000028,17
668,E09000029,E09000029,12840
669,E09000029,E09000031,6
670,E09000029,E09000032,158
671,E09000030,E09000001,137
672,E09000030,E09000002,1596
673,E09000030,E09000003,850
674,E09000030,E09000004,1811
675,E09000030,E09000005,722
676,E09000030,E09000006,2030
677,E09000030,E09000007,2093
678,E09000030,E09000008,848
679,E09000030,E09000009,200
680,E09000030,E09000010,597
681,E09000030,E09000011,4386
682,E09000030,E09000012,3246
683,E09000030,E09000013,751
684,E09000030,E09000014,962
685,E09000030,E09000015,407
686,E09000030,E09000016,721
687,E09000030,E09000017,51
688,E09000030,E09000018,326
689,E09000030,E09000019,2779
690,E09000030,E09000020,2167
691,E09000030,E09000021,187
692,E09000030,E09000022,3246
693,E09000030,E09000023,3147
694,E09000030,E09000024,211
695,E09000030,E09000025,7973
696,E09000030,E09000026,3452
697,E09000030,E09000027,277
698,E09000030,E09000028,4786
699,E09000030,E09000029,104
700,E09000030,E09000030,14720
701,E09000030,E09000031,2219
702,E09000030,E09000032,2688
703,E09000030,E09000033,2016
704,E09000031,E09000002,310
705,E09000031,E09000003,15
706,E09000031,E09000004,3
707,E09000031,E09000005,4
708,E09000031,E09000009,3
709,E09000031,E09000010,349
710,E09000031,E09000011,43
711,E09000031,E09000012,363
712,E09000031,E09000014,310
713,E09000031,E09000016,54
714,E09000031,E09000019,38
715,E09000031,E09000023,8
716,E09000031,E09000025,1502
717,E09000031,E09000026,1863
718,E09000031,E09000028,17
719,E09000031,E09000030,145
720,E09000031,E09000031,11398
721,E09000032,E09000002,13
722,E09000032,E09000003,14
723,E09000032,E09000004,66
724,E09000032,E09000005,94
725,E09000032,E09000006,129
726,E09000032,E09000007,36
727,E09000032,E09000008,2489
728,E09000032,E09000009,135
729,E09000032,E09000010,6
730,E09000032,E09000011,183
731,E09000032,E09000012,60
732,E09000032,E09000013,496
733,E09000032,E09000014,36
734,E09000032,E09000015,16
735,E09000032,E09000017,17
736,E09000032,E09000018,113
737,E09000032,E09000019,47
738,E09000032,E09000020,177
739,E09000032,E09000021,801
740,E09000032,E09000022,4830
741,E09000032,E09000023,557
742,E09000032,E09000024,5174
743,E09000032,E09000025,46
744,E09000032,E09000027,440
745,E09000032,E09000028,1233
746,E09000032,E09000029,1677
747,E09000032,E09000030,54
748,E09000032,E09000031,34
749,E09000032,E09000032,10155
750,E09000032,E09000033,209
751,E09000033,E09000001,262
752,E09000033,E09000002,1520
753,E09000033,E09000003,13312
754,E09000033,E09000004,3924
755,E09000033,E09000005,14564
756,E09000033,E09000006,6540
757,E09000033,E09000007,13229
758,E09000033,E09000008,7472
759,E09000033,E09000009,9304
760,E09000033,E09000010,5071
761,E09000033,E09000011,6911
762,E09000033,E09000012,9411
763,E09000033,E09000013,13667
764,E09000033,E09000014,11148
765,E09000033,E09000015,3051
766,E09000033,E09000016,1198
767,E09000033,E09000017,2101
768,E09000033,E09000018,5295
769,E09000033,E09000019,10697
770,E09000033,E09000020,12790
771,E09000033,E09000021,2839
772,E09000033,E09000022,21573
773,E09000033,E09000023,11346
774,E09000033,E09000024,5167
775,E09000033,E09000025,6943
776,E09000033,E09000026,3233
777,E09000033,E09000027,4804
778,E09000033,E09000028,15123
779,E09000033,E09000029,2058
780,E09000033,E09000030,9097
781,E09000033,E09000031,7621
782,E09000033,E09000032,22326
783,E09000033,E09000033,16740
